pcode,name,hierarchy,parent_pcode
PH072226001,Agus,ASM4,PH072226000
PH042110001,Agus-us,ASM4,PH042110000
PH104305001,Agusan,ASM4,PH104305000
PH101314001,Agusan Canyon,ASM4,PH101314000
PH160202003,Agusan Pequeño,ASM4,PH160202000
PH021510003,Agusi,ASM4,PH021510000
PH063004001,Agusipan,ASM4,PH063004000
PH063043001,Agusipan,ASM4,PH063043000
PH036916001,Aguso,ASM4,PH036916000
PH061905002,Agustin Navarra,ASM4,PH061905000
PH087807001,Agutay,ASM4,PH087807000
PH175908002,Agutay,ASM4,PH175908000
PH063017001,Agutayan,ASM4,PH063017000
PH063043002,Agutayan,ASM4,PH063043000
PH083719001,Agutayan,ASM4,PH083719000
PH098302021,Agutayan,ASM4,PH098302000
PH175304001,Agutayan,ASM4,PH175304000
PH074612002,Agutayon,ASM4,PH074612000
PH153825001,Ahan,ASM4,PH153825000
PH142710001,Ahin,ASM4,PH142710000
PH083738092,Airport,ASM4,PH083738000
PH063022004,Airport (Tabucan Airport),ASM4,PH063022000
PH084805002,Airport Village,ASM4,PH084805000
PH021515001,Ajat (Pob.),ASM4,PH021515000
PH074620002,Ajong,ASM4,PH074620000
PH045610001,Ajos,ASM4,PH045610000
PH045628001,Ajos,ASM4,PH045628000
PH025703031,Aklan Village,ASM4,PH025703000
PH031419001,Akle,ASM4,PH031419000
PH126509001,Akol,ASM4,PH126509000
PH013311002,Al-alinao Norte,ASM4,PH013311000
PH013311003,Al-alinao Sur,ASM4,PH013311000
PH012927001,Al-aludig,ASM4,PH012927000
PH126503001,Ala,ASM4,PH126503000
PH030811001,Ala-uli,ASM4,PH030811000
PH144404002,Alab Oriente,ASM4,PH144404000
PH144404001,Alab Proper,ASM4,PH144404000
PH137603001,Alabang,ASM4,PH137603000
PH050513002,Alabangpuro,ASM4,PH050513000
PH021528002,Alabiao,ASM4,PH021528000
PH063010002,Alabidhan,ASM4,PH063010000
PH021528003,Alabug,ASM4,PH021528000
PH015537001,Alac,ASM4,PH015537000
PH175111001,Alacaak,ASM4,PH175111000
PH175320025,Alacalian,ASM4,PH175320000
PH015524003,Alacan,ASM4,PH015524000
PH015533031,Alacan,ASM4,PH015533000
PH063006003,Alacaygan,ASM4,PH063006000
PH064508001,Alacaygan,ASM4,PH064508000
PH175910008,Alad,ASM4,PH175910000
PH101314002,Alae,ASM4,PH101314000
PH175201001,Alag,ASM4,PH175201000
PH031419002,Alagao,ASM4,PH031419000
PH041006001,Alagao,ASM4,PH041006000
PH104308002,Alagatan,ASM4,PH104308000
PH021516002,Alaguia,ASM4,PH021516000
PH067902002,Alaguisoc,ASM4,PH067902000
PH083723001,Alahag,ASM4,PH083723000
PH063022005,Alalasan Lapuz,ASM4,PH063022000
PH034916004,Alalay Chica,ASM4,PH034916000
PH034916005,Alalay Grande,ASM4,PH034916000
PH041026001,Alalum,ASM4,PH041026000
PH153812001,Alamada,ASM4,PH153812000
PH072205001,Alambijud,ASM4,PH072205000
PH166711001,Alambique (Pob.),ASM4,PH166711000
PH112402003,Alambre,ASM4,PH112402000
PH063021001,Alameda,ASM4,PH063021000
PH060410001,Alaminos,ASM4,PH060410000
PH072230001,Alang-alang,ASM4,PH072230000
PH072248001,Alang-alang,ASM4,PH072248000
PH082604001,Alang-alang,ASM4,PH082604000
PH082607001,Alang-alang,ASM4,PH082607000
PH082617045,Alang-alang,ASM4,PH082617000
PH082618023,Alang-alang,ASM4,PH082618000
PH084809001,Alang-alang,ASM4,PH084809000
PH097302002,Alang-alang,ASM4,PH097302000
PH097328001,Alang-alang,ASM4,PH097328000
PH166724001,Alang-alang,ASM4,PH166724000
PH025010023,Alang-Salacsac,ASM4,PH025010000
PH012912001,Alangan,ASM4,PH012912000
PH030806001,Alangan,ASM4,PH030806000
PH060616002,Alangan,ASM4,PH060616000
PH041004001,Alangilan,ASM4,PH041004000
PH041005001,Alangilan,ASM4,PH041005000
PH083701001,Alangilan,ASM4,PH083701000
PH101805001,Alangilan,ASM4,PH101805000
PH064501001,Alangilan,ASM4,PH064501000
PH074618001,Alangilan,ASM4,PH074618000
PH074615001,Alangilanan,ASM4,PH074615000
PH140126001,Alangtin,ASM4,PH140126000
PH101310001,Alanib,ASM4,PH101310000
PH021517002,Alannay,ASM4,PH021517000
PH140125002,Alaoa,ASM4,PH140125000
PH042109001,Alapan I-A,ASM4,PH042109000
PH042109026,Alapan I-B,ASM4,PH042109000
PH042109027,Alapan I-C,ASM4,PH042109000
PH042109002,Alapan II-A,ASM4,PH042109000
PH042109028,Alapan II-B,ASM4,PH042109000
PH141110001,Alapang,ASM4,PH141110000
PH063009001,Alapasco,ASM4,PH063009000
PH054110001,Alas,ASM4,PH054110000
PH041025018,Alas-as,ASM4,PH041025000
PH060410002,Alas-as,ASM4,PH060410000
PH030807001,Alas-asin,ASM4,PH030807000
PH061907002,Alasaging,ASM4,PH061907000
PH035416001,Alasas,ASM4,PH035416000
PH013302001,Alaska,ASM4,PH013302000
PH156602001,Alat,ASM4,PH156602000
PH035412001,Alauli,ASM4,PH035412000
PH051603001,Alawihao,ASM4,PH051603000
PH072207001,Alawijao,ASM4,PH072207000
PH012803001,Alay-Nangbabaan (Alay 15-B),ASM4,PH012803000
PH051602001,Alayao,ASM4,PH051602000
PH061907003,Alayunan,ASM4,PH061907000
PH021506003,Alba,ASM4,PH021506000
PH166818001,Alba,ASM4,PH166818000
PH126314001,Albagan,ASM4,PH126314000
PH086005001,Albalate,ASM4,PH086005000
PH012809001,Albano (Pob.),ASM4,PH012809000
PH054107001,Albasan,ASM4,PH054107000
PH060416001,Albasan,ASM4,PH060416000
PH074619001,Albiga,ASM4,PH074619000
PH166723014,Albino Taruc,ASM4,PH166723000
PH168504001,Albor (Pob.),ASM4,PH168504000
PH175202001,Alcadesma,ASM4,PH175202000
PH037707001,Alcala,ASM4,PH037707000
PH050503001,Alcala,ASM4,PH050503000
PH013310001,Alcala (Pob.),ASM4,PH013310000
PH063027002,Alcantara,ASM4,PH063027000
PH175215001,Alcate,ASM4,PH175215000
PH086020001,Alcazar,ASM4,PH086020000
