"Summary of Core ICT Indicators for Establishments Under Business Process Management (BPM) Activities: Philippines"

"Geolocation","Industry Description","Number of establishments 2013","Number of establishments 2015","Number of establishments 2017","Establishments with computers and communication equipment 2013","Establishments with computers and communication equipment 2015","Establishments with computers and communication equipment 2017","Establishments with internet access 2013","Establishments with internet access 2015","Establishments with internet access 2017","Number of employees 2013","Number of employees 2015","Number of employees 2017","Employees using computer routinely at work 2013","Employees using computer routinely at work 2015","Employees using computer routinely at work 2017","Employees using computer with internet connection routinely at work 2013","Employees using computer with internet connection routinely at work 2015","Employees using computer with internet connection routinely at work 2017","Establishments with web presence 2013","Establishments with web presence 2015","Establishments with web presence 2017","Establishments with intranet 2013","Establishments with intranet 2015","Establishments with intranet 2017","Establishments with extranet 2013","Establishments with extranet 2015","Establishments with extranet 2017","Establishments with wired local area network 2013","Establishments with wired local area network 2015","Establishments with wired local area network 2017","Establishments with wireless local area network 2013","Establishments with wireless local area network 2015","Establishments with wireless local area network 2017","Establishments with wide area network 2013","Establishments with wide area network 2015","Establishments with wide area network 2017","Establishments with e-commerce via the internet 2013","Establishments with e-commerce via the internet 2015","Establishments with e-commerce via the internet 2017","Establishments with e-commerce via network channels other than the internet 2013","Establishments with e-commerce via network channels other than the internet 2015","Establishments with e-commerce via network channels other than the internet 2017","Establishments with business transaction via cellular mobile phone/ smartphone 2013","Establishments with business transaction via cellular mobile phone/ smartphone 2015","Establishments with business transaction via cellular mobile phone/ smartphone 2017","Establishments which used the internet for finance accounting and auditing 2013","Establishments which used the internet for finance accounting and auditing 2015","Establishments which used the internet for finance accounting and auditing 2017","Establishments which used the internet for internal or external recruitment 2013","Establishments which used the internet for internal or external recruitment 2015","Establishments which used the internet for internal or external recruitment 2017","Establishments which used the internet for staff training 2013","Establishments which used the internet for staff training 2015","Establishments which used the internet for staff training 2017","Establishments which used the internet for sharing or distribution of information within the establishment 2013","Establishments which used the internet for sharing or distribution of information within the establishment 2015","Establishments which used the internet for sharing or distribution of information within the establishment 2017","Establishments which used the internet for sharing or distribution of information with other organizations 2013","Establishments which used the internet for sharing or distribution of information with other organizations 2015","Establishments which used the internet for sharing or distribution of information with other organizations 2017","Establishments which used the internet for obtaining information from other organizations 2013","Establishments which used the internet for obtaining information from other organizations 2015","Establishments which used the internet for obtaining information from other organizations 2017","Establishments which used the internet for obtaining information from government organizations 2013","Establishments which used the internet for obtaining information from government organizations 2015","Establishments which used the internet for obtaining information from government organizations 2017","Establishments which used the internet for downloading or requesting government forms 2013","Establishments which used the internet for downloading or requesting government forms 2015","Establishments which used the internet for downloading or requesting government forms 2017","Establishments which used the internet for completing forms on-line or sending completed forms 2013","Establishments which used the internet for completing forms on-line or sending completed forms 2015","Establishments which used the internet for completing forms on-line or sending completed forms 2017","Establishments which used the internet for making on-line payments to government corporations 2013","Establishments which used the internet for making on-line payments to government corporations 2015","Establishments which used the internet for making on-line payments to government corporations 2017","Establishments which used the internet for sending or receiving e-mails 2013","Establishments which used the internet for sending or receiving e-mails 2015","Establishments which used the internet for sending or receiving e-mails 2017","Establishments with Social Media Account 2013","Establishments with Social Media Account 2015","Establishments with Social Media Account 2017"
"..Region VII (Central Visayas)","..Computer programming activities",48.0,..,68.0,100.0,..,100.0,100.0,..,100.0,2249.0,..,3347.0,95.9,..,98.6,95.4,..,98.6,56.3,..,67.6,58.3,..,51.5,20.8,..,7.4,25.0,..,92.6,45.8,..,77.9,43.8,..,22.1,27.1,..,25.0,14.6,..,1.5,18.8,..,22.1,33.3,..,72.1,64.6,..,75.0,58.3,..,70.6,83.3,..,76.5,64.6,..,69.1,68.8,..,76.5,89.6,..,76.5,95.8,..,77.9,8.3,..,75.0,60.4,..,64.7,..,..,92.6,..,..,47.1
"..Region VII (Central Visayas)","..Computer consultancy and computer facilities management activities",s,..,5.0,s,..,100.0,s,..,100.0,s,..,1551.0,s,..,98.1,s,..,95.9,s,..,100.0,s,..,60.0,s,..,40.0,s,..,100.0,s,..,100.0,s,..,20.0,s,..,20.0,s,..,0.0,s,..,60.0,s,..,100.0,s,..,100.0,s,..,60.0,s,..,80.0,s,..,80.0,s,..,60.0,s,..,80.0,s,..,100.0,s,..,100.0,s,..,100.0,..,..,100.0,..,..,20.0
"..Region VII (Central Visayas)","..Other information technology and computer service activities",..,..,3.0,..,..,66.7,..,..,66.7,..,..,20.0,..,..,100.0,..,..,85.0,..,..,33.3,..,..,0.0,..,..,0.0,..,..,66.7,..,..,33.3,..,..,0.0,..,..,0.0,..,..,0.0,..,..,66.7,..,..,50.0,..,..,50.0,..,..,50.0,..,..,50.0,..,..,50.0,..,..,50.0,..,..,100.0,..,..,50.0,..,..,50.0,..,..,50.0,..,..,50.0,..,..,33.3
"..Region VII (Central Visayas)","..Data processing",7.0,..,5.0,100.0,..,100.0,100.0,..,100.0,4450.0,..,1598.0,100.0,..,100.0,98.4,..,99.8,42.9,..,20.0,57.1,..,80.0,28.6,..,20.0,42.9,..,100.0,14.3,..,60.0,14.3,..,40.0,14.3,..,60.0,14.3,..,0.0,14.3,..,20.0,42.9,..,60.0,57.1,..,40.0,28.6,..,40.0,71.4,..,40.0,14.3,..,40.0,28.6,..,80.0,71.4,..,100.0,85.7,..,100.0,14.3,..,100.0,42.9,..,60.0,..,..,100.0,..,..,60.0
"..Region VII (Central Visayas)","..Website hosting services",4.0,..,3.0,100.0,..,100.0,100.0,..,100.0,61.0,..,388.0,96.7,..,100.0,96.7,..,100.0,25.0,..,33.3,50.0,..,66.7,0.0,..,66.7,50.0,..,100.0,25.0,..,100.0,25.0,..,66.7,0.0,..,33.3,0.0,..,0.0,25.0,..,33.3,75.0,..,100.0,50.0,..,100.0,75.0,..,100.0,100.0,..,100.0,0.0,..,66.7,50.0,..,100.0,100.0,..,100.0,100.0,..,100.0,50.0,..,100.0,75.0,..,100.0,..,..,100.0,..,..,33.3
"..Region VII (Central Visayas)","..Application hosting services",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Customer relationship management activities",25.0,..,49.0,100.0,..,100.0,100.0,..,100.0,33382.0,..,53733.0,98.5,..,99.7,92.1,..,82.7,24.0,..,61.2,88.0,..,81.6,64.0,..,53.1,100.0,..,100.0,96.0,..,83.7,84.0,..,73.5,8.0,..,2.0,4.0,..,0.0,4.0,..,57.1,60.0,..,83.7,68.0,..,93.9,64.0,..,85.7,64.0,..,89.8,44.0,..,81.6,52.0,..,77.6,80.0,..,91.8,80.0,..,93.9,76.0,..,95.9,52.0,..,81.6,..,..,87.8,..,..,46.9
"..Region VII (Central Visayas)","..Sales and marketing (including telemarketing) activities",22.0,..,17.0,100.0,..,100.0,100.0,..,100.0,6415.0,..,8827.0,99.1,..,99.3,99.1,..,83.7,45.5,..,52.9,59.1,..,70.6,22.7,..,35.3,86.4,..,94.1,72.7,..,82.4,36.4,..,58.8,36.4,..,11.8,27.3,..,5.9,13.6,..,70.6,59.1,..,82.4,63.6,..,76.5,40.9,..,76.5,63.6,..,82.4,63.6,..,70.6,54.6,..,70.6,81.8,..,94.1,95.5,..,88.2,72.7,..,82.4,50.0,..,94.1,..,..,82.4,..,..,52.9
"..Region VII (Central Visayas)","..Other call centers activities (voice), n.e.c.",s,..,3.0,s,..,100.0,s,..,100.0,s,..,1362.0,s,..,100.0,s,..,100.0,s,..,33.3,s,..,66.7,s,..,0.0,s,..,100.0,s,..,100.0,s,..,66.7,s,..,0.0,s,..,0.0,s,..,100.0,s,..,100.0,s,..,100.0,s,..,66.7,s,..,66.7,s,..,66.7,s,..,66.7,s,..,100.0,s,..,100.0,s,..,100.0,s,..,66.7,..,..,66.7,..,..,66.7
"..Region VII (Central Visayas)","..Medical transcription activities",5.0,..,s,100.0,..,s,100.0,..,s,371.0,..,s,55.3,..,s,44.5,..,s,60.0,..,s,40.0,..,s,0.0,..,s,100.0,..,s,60.0,..,s,20.0,..,s,20.0,..,s,20.0,..,s,0.0,..,s,40.0,..,s,80.0,..,s,20.0,..,s,20.0,..,s,20.0,..,s,20.0,..,s,100.0,..,s,100.0,..,s,80.0,..,s,40.0,..,s,..,..,s,..,..,s
"..Region VII (Central Visayas)","..On-line employment placement agencies",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VII (Central Visayas)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Human resources and training activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VII (Central Visayas)","..Administrative support activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VII (Central Visayas)","..Document processes activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VII (Central Visayas)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Other non-voice related activities, n.e.c.",..,..,3.0,..,..,100.0,..,..,100.0,..,..,3371.0,..,..,100.0,..,..,100.0,..,..,33.3,..,..,66.7,..,..,33.3,..,..,100.0,..,..,66.7,..,..,66.7,..,..,0.0,..,..,0.0,..,..,100.0,..,..,100.0,..,..,100.0,..,..,100.0,..,..,100.0,..,..,100.0,..,..,100.0,..,..,66.7,..,..,100.0,..,..,100.0,..,..,66.7,..,..,100.0,..,..,66.7
"..Region VII (Central Visayas)","..Engineering outsourcing activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VII (Central Visayas)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Intellectual property research and documentation activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VII (Central Visayas)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","Business Process Management",s,..,2.0,s,..,100.0,s,..,100.0,s,..,1060.0,s,..,98.0,s,..,98.0,s,..,0.0,s,..,0.0,s,..,0.0,s,..,100.0,s,..,50.0,s,..,50.0,s,..,0.0,s,..,0.0,s,..,50.0,s,..,0.0,s,..,0.0,s,..,50.0,s,..,50.0,s,..,0.0,s,..,0.0,s,..,50.0,s,..,50.0,s,..,50.0,s,..,0.0,..,..,50.0,..,..,50.0
"..Region VIII (Eastern Visayas)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Computer programming activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region VIII (Eastern Visayas)","..Computer consultancy and computer facilities management activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Other information technology and computer service activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Data processing",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VIII (Eastern Visayas)","..Website hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Application hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Customer relationship management activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Sales and marketing (including telemarketing) activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Other call centers activities (voice), n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Medical transcription activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Human resources and training activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VIII (Eastern Visayas)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","Business Process Management",9.0,..,11.0,100.0,..,100.0,88.9,..,100.0,1077.0,..,1301.0,97.7,..,97.7,97.4,..,83.3,22.2,..,54.5,33.3,..,45.5,44.4,..,18.2,44.4,..,100.0,33.3,..,72.7,22.2,..,18.2,22.2,..,36.4,22.2,..,0.0,22.2,..,54.5,12.5,..,63.6,62.5,..,81.8,62.5,..,81.8,50.0,..,81.8,37.5,..,72.7,50.0,..,72.7,87.5,..,81.8,75.0,..,81.8,12.5,..,81.8,62.5,..,72.7,..,..,90.9,..,..,54.5
"..Region X (Northern Mindanao)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
